blue,green,red,nred,ir1,ir2,class
104,43,49,65,80,43,urban
115,50,62,68,83,43,urban
106,46,56,47,76,42,urban
106,44,55,63,79,41,urban
104,45,55,66,76,41,urban
105,46,59,65,79,44,urban
103,44,54,58,81,45,urban
118,48,59,62,80,46,urban
112,49,62,54,79,47,urban
115,46,58,72,87,47,urban
82,34,30,35,78,23,agriculture1
81,34,29,37,76,22,agriculture1
82,34,28,34,75,22,agriculture1
82,34,29,35,77,21,agriculture1
81,33,29,37,73,21,agriculture1
78,34,28,31,74,22,agriculture1
81,25,28,35,76,22,agriculture1
79,34,29,33,75,20,agriculture1
81,34,29,29,77,21,agriculture1
82,35,29,36,75,24,agriculture1
84,34,32,19,76,24,agriculture2
82,36,34,19,81,24,agriculture2
81,35,34,19,80,24,agriculture2
82,35,34,18,79,27,agriculture2
81,34,33,18,79,24,agriculture2
82,34,33,15,80,24,agriculture2
83,35,34,16,82,24,agriculture2
83,34,33,14,82,24,agriculture2
81,35,34,18,80,25,agriculture2
82,34,34,13,84,27,agriculture2
86,40,37,48,13,37,turf_grass
83,37,35,45,6,33,turf_grass
85,37,36,52,13,36,turf_grass
85,40,35,51,10,33,turf_grass
86,41,39,52,13,38,turf_grass
85,41,37,56,13,35,turf_grass
89,41,38,46,13,37,turf_grass
87,40,38,49,13,36,turf_grass
85,40,37,52,10,34,turf_grass
85,41,39,52,12,36,turf_grass
85,41,39,52,12,36,turf_grass
98,41,63,81,55,77,s_decidious
101,43,68,83,65,80,s_decidious
99,43,64,81,60,79,s_decidious
100,43,66,84,61,77,s_decidious
100,42,65,83,64,79,s_decidious
103,43,67,84,61,76,s_decidious
97,43,66,83,65,77,s_decidious
99,43,63,82,58,74,s_decidious
100,42,64,84,60,75,s_decidious
100,41,65,82,66,76,s_decidious
96,39,55,68,31,63,n_decidious
93,38,54,66,30,60,n_decidious
92,37,52,65,30,61,n_decidious
95,37,54,69,31,62,n_decidious
93,37,53,68,35,62,n_decidious
91,37,51,67,23,59,n_decidious
95,37,54,67,33,62,n_decidious
93,37,51,66,30,59,n_decidious
91,37,53,67,30,60,n_decidious
93,35,54,69,29,60,n_decidious
78,29,28,67,64,25,coniferous
79,28,28,66,66,24,coniferous
78,29,30,62,69,28,coniferous
79,27,26,63,63,22,coniferous
76,26,24,64,58,23,coniferous
78,28,29,63,66,24,coniferous
76,28,28,70,59,20,coniferous
77,28,26,73,53,17,coniferous
78,28,27,68,61,19,coniferous
77,29,26,71,58,20,coniferous
71,21,20,12,10,4,shallow_water
70,22,18,11,7,4,shallow_water
72,21,19,13,10,5,shallow_water
70,21,20,11,6,2,shallow_water
70,21,19,10,9,2,shallow_water
72,21,20,12,7,2,shallow_water
69,21,18,11,6,2,shallow_water
73,22,20,13,9,2,shallow_water
72,22,19,13,8,3,shallow_water
75,24,21,12,9,4,shallow_water
78,26,24,15,11,6,deep_water
78,25,24,16,11,6,deep_water
76,25,25,15,11,5,deep_water
79,24,24,15,11,7,deep_water
78,26,25,16,12,6,deep_water
79,27,28,16,14,7,deep_water
79,25,25,16,11,5,deep_water
76,25,24,16,11,6,deep_water
75,25,23,14,10,5,deep_water
73,24,25,15,10,4,deep_water
88,33,37,45,79,41,marsh
85,33,39,42,78,44,marsh
86,34,39,43,78,40,marsh
86,34,38,47,78,42,marsh
90,34,42,43,68,36,marsh
90,36,44,45,72,36,marsh
84,31,36,39,67,35,marsh
85,34,38,46,75,39,marsh
85,32,38,41,67,37,marsh
88,34,42,46,73,40,marsh
82,30,33,42,71,33,shrub_swamp
82,29,33,42,69,34,shrub_swamp
80,29,34,41,72,32,shrub_swamp
80,30,34,44,72,36,shrub_swamp
82,30,33,43,72,34,shrub_swamp
79,29,33,42,72,33,shrub_swamp
82,30,35,42,72,33,shrub_swamp
83,29,34,43,73,34,shrub_swamp
84,30,34,42,72,32,shrub_swamp
82,29,34,41,73,33,shrub_swamp
84,31,35,52,66,29,wooded_swamp
85,31,37,54,66,30,wooded_swamp
84,31,36,51,64,29,wooded_swamp
83,31,34,54,68,29,wooded_swamp
84,30,34,49,63,28,wooded_swamp
86,31,37,53,69,30,wooded_swamp
84,30,35,49,70,30,wooded_swamp
82,30,36,48,69,31,wooded_swamp
85,30,36,50,71,33,wooded_swamp
82,31,36,49,68,30,wooded_swamp
108,51,78,69,15,77,dark_barren
110,50,77,67,15,77,dark_barren
109,53,80,74,22,81,dark_barren
109,54,82,77,26,83,dark_barren
110,53,81,74,24,81,dark_barren
105,48,70,78,27,73,dark_barren
109,51,74,82,28,73,dark_barren
109,54,78,75,27,80,dark_barren
103,50,75,69,25,81,dark_barren
104,49,75,70,22,78,dark_barren
124,62,92,85,62,6,br_barren1
124,64,97,87,68,9,br_barren1
126,63,96,87,62,6,br_barren1
122,62,90,82,58,1,br_barren1
123,60,89,76,51,0,br_barren1
126,63,95,87,58,4,br_barren1
125,65,1,90,58,1,br_barren1
118,56,78,85,74,93,br_barren1
119,53,78,80,74,92,br_barren1
125,58,81,82,74,95,br_barren1
148,66,88,74,23,78,br_barren2
152,67,92,77,23,76,br_barren2
149,66,91,73,19,74,br_barren2
146,66,89,75,20,75,br_barren2
152,67,92,76,18,77,br_barren2
140,63,86,74,25,79,br_barren2
150,65,88,74,24,78,br_barren2
154,67,91,77,25,81,br_barren2
144,64,88,74,21,78,br_barren2
155,68,93,77,24,76,br_barren2
128,64,1,92,57,4,br_barren1
119,59,90,85,52,96,br_barren1
127,61,93,87,54,0,br_barren1
127,63,96,87,60,4,br_barren1
130,66,1,93,66,7,br_barren1
121,61,90,80,49,99,br_barren1
125,61,89,84,56,0,br_barren1
122,54,82,83,79,93,br_barren1
116,53,74,76,62,89,br_barren1
121,54,77,79,78,95,br_barren1
100,41,50,59,79,39,urban
107,44,55,54,75,42,urban
115,50,62,68,83,43,urban
116,46,58,61,76,40,urban
113,50,62,59,85,43,urban
108,44,53,68,78,40,urban
106,46,56,58,79,42,urban
111,47,58,59,77,44,urban
119,46,61,54,71,39,urban
118,50,67,57,83,47,urban
79,34,30,33,75,23,agriculture1
82,34,30,31,76,24,agriculture1
82,35,29,31,77,22,agriculture1
82,34,29,35,74,21,agriculture1
81,33,29,32,76,23,agriculture1
82,33,29,35,76,21,agriculture1
82,35,30,32,76,21,agriculture1
82,34,28,32,76,22,agriculture1
82,34,28,31,75,21,agriculture1
82,34,29,34,75,22,agriculture1
77,27,28,62,63,23,coniferous
78,29,29,65,62,23,coniferous
76,29,29,68,61,22,coniferous
78,27,27,71,58,19,coniferous
80,28,28,68,63,23,coniferous
77,28,29,61,67,23,coniferous
78,28,25,69,48,14,coniferous
75,29,26,73,52,17,coniferous
76,29,26,76,53,19,coniferous
76,28,25,71,49,15,coniferous
82,31,35,46,74,33,shrub_swamp
84,29,35,42,73,33,shrub_swamp
82,30,34,41,72,34,shrub_swamp
81,30,34,43,73,35,shrub_swamp
80,29,35,42,70,33,shrub_swamp
80,29,33,42,72,32,shrub_swamp
82,29,33,43,75,35,shrub_swamp
83,29,34,44,73,33,shrub_swamp
81,29,33,39,70,34,shrub_swamp
82,30,33,43,72,34,shrub_swamp
83,35,33,18,78,25,agriculture2
82,35,34,15,82,27,agriculture2
85,35,34,19,83,26,agriculture2
83,34,35,12,84,27,agriculture2
81,33,34,15,81,27,agriculture2
81,34,32,15,78,24,agriculture2
83,33,33,15,84,26,agriculture2
82,34,32,14,85,28,agriculture2
79,34,33,18,82,24,agriculture2
83,34,33,23,80,25,agriculture2
84,31,36,52,69,31,wooded_swamp
85,31,35,54,66,30,wooded_swamp
83,30,35,50,67,30,wooded_swamp
84,30,35,50,66,29,wooded_swamp
85,31,35,52,65,29,wooded_swamp
83,29,35,47,65,29,wooded_swamp
85,31,38,52,72,32,wooded_swamp
85,30,36,49,69,30,wooded_swamp
82,31,36,49,67,29,wooded_swamp
83,30,37,54,72,33,wooded_swamp
92,38,52,65,29,29,n_decidious
95,38,54,67,30,60,n_decidious
92,37,52,65,30,61,n_decidious
95,38,55,67,31,63,n_decidious
93,37,53,68,35,62,n_decidious
92,37,52,66,28,61,n_decidious
92,38,55,67,28,61,n_decidious
92,37,55,70,29,59,n_decidious
96,38,54,69,27,60,n_decidious
93,38,54,69,32,61,n_decidious
97,42,62,82,50,72,s_decidious
100,42,63,82,57,74,s_decidious
98,42,67,83,69,79,s_decidious
99,42,65,82,63,79,s_decidious
100,42,64,81,59,76,s_decidious
103,44,70,87,72,82,s_decidious
102,42,65,82,67,79,s_decidious
99,42,61,78,52,75,s_decidious
100,42,62,80,55,75,s_decidious
98,42,62,79,57,75,s_decidious
87,34,40,45,79,43,marsh
87,33,39,42,76,42,marsh
91,34,40,43,76,41,marsh
87,34,39,48,79,41,marsh
89,32,38,40,76,40,marsh
87,33,38,49,76,36,marsh
86,34,38,45,80,39,marsh
86,33,38,42,69,36,marsh
86,32,37,50,73,34,marsh
92,35,44,43,85,45,marsh
152,68,94,78,31,82,br_barren2
143,67,92,74,20,72,br_barren2
148,65,85,69,14,70,br_barren2
160,67,91,76,22,76,br_barren2
152,68,89,75,21,77,br_barren2
148,67,90,76,21,77,br_barren2
145,66,89,74,22,78,br_barren2
150,66,91,75,20,75,br_barren2
149,66,91,73,19,74,br_barren2
150,65,88,73,14,73,br_barren2
109,52,80,77,28,79,dark_barren
110,55,84,77,28,82,dark_barren
113,54,83,77,26,82,dark_barren
105,50,76,73,23,79,dark_barren
107,50,78,73,21,81,dark_barren
106,51,75,80,28,78,dark_barren
108,52,78,73,28,81,dark_barren
113,55,85,78,27,84,dark_barren
109,52,80,74,23,83,dark_barren
111,52,80,77,29,83,dark_barren
85,39,36,44,10,35,turf_grass
86,39,34,46,13,36,turf_grass
87,40,37,46,12,35,turf_grass
85,40,38,44,11,36,turf_grass
87,40,36,51,8,34,turf_grass
89,40,37,52,11,36,turf_grass
87,40,36,49,7,36,turf_grass
85,40,37,51,7,34,turf_grass
85,40,37,53,9,34,turf_grass
86,40,35,52,4,33,turf_grass
71,22,20,13,9,5,shallow_water
71,22,19,12,7,3,shallow_water
68,21,18,11,6,2,shallow_water
70,21,19,11,6,3,shallow_water
70,21,19,11,9,4,shallow_water
73,21,18,11,7,4,shallow_water
70,21,20,11,8,2,shallow_water
72,21,18,11,8,5,shallow_water
74,22,21,12,12,4,shallow_water
75,23,21,14,8,4,shallow_water
78,24,24,15,11,6,deep_water
78,25,25,16,16,8,deep_water
76,25,24,15,12,5,deep_water
76,25,25,15,11,8,deep_water
78,26,26,15,11,7,deep_water
78,25,26,15,11,6,deep_water
78,26,25,15,12,6,deep_water
77,26,25,16,13,8,deep_water
76,24,24,15,11,6,deep_water
